,name
0,ckan-url
1,conseillers-ere-s-de-paris
2,bilan-social-temps-de-travail-des-effectifs-non-titulaires-permanents-a-temps-partiel
3,comptes-administratifs-autorisations-de-programmes-a-partir-de-2018-m57-ville-departement
4,comptes-administratifs-autorisations-de-programmes-2009-2017-m14-m52-ville-departement
5,dlune-pohledavky
6,smlouvy-uzavene-na-nen
7,2016-2017-local-law-60-bathroom-non-instructional-space
8,2017-2018-discharge-report-by-code-ms
9,2017-2018-discharge-reporting-by-school-ms
10,2017-2018-discharge-reporting-by-swd-hs
11,2017-2018-discharge-reporting-by-school-hs
12,2017-2018-health-education-report-ms-54-district
13,2017-2018-health-education-report-ms-54-school
14,2017-2018-health-education-report-ms-54-city-council-district
15,milwaukee-police-department-mpd-stop-and-search-data-1st-quarter-2020
16,walk-100
17,neighborhood-improvement-districts
18,land-use-maps
19,buildingpermits
20,mfdems
21,milwaukee-public-school-board-districts
22,voting-ward-demographics
23,state-senator-district-8-race-by-ward-nov-8-2016
24,city-employee-salary-data
25,2018-primary-election-results
26,2020-spring-election-results
27,2018-spring-election-results
28,milwaukee-police-department-mpd-stop-and-search-data-3rd-quarter-2020
29,county-clerk-race-by-ward-nov-8-2016
30,2018-nov-6-representative-to-the-assembly-district-8
31,presidential-race-summary-2016
32,quarter-sections
33,2018-nov-6-representative-to-the-assembly-district-21
34,strategic-action-plans
35,city-of-milwaukee-bicycle-network
36,citypropertymailinglistbusiness
37,2018-nov-6-representative-to-the-assembly-district-19
38,2018-nov-6-unites-states-senator
39,master-address-index-mai-points-mpd
40,tax-data-by-county
41,2018-nov-6-representative-to-the-assembly-district-7
42,wibr-crime-monthly
43,register-of-deeds-race-by-ward-nov-8-2018
44,redevelopment-plans
45,dpw-forestry
46,2018-nov-6-representative-to-the-assembly-district-10
47,representative-of-the-assembly-district-18-race-by-ward-nov-8-2016
48,property-sales-data
49,2018-nov-6-alderperson-district-5-district-5
50,historical-master-property-file
51,united-states-senator-race-by-ward-nov-8-2016
52,citypropertymailinglistowneroccupied
53,streets
54,aldermanic-district-demographics
55,state-senator-district-28-race-by-ward-nov-8-2016
56,citypropertymailinglistownerabsentee
57,representative-of-the-assembly-district-19-race-by-ward-nov-8-2016
58,delinquent-personal-property-tax-accounts
59,assessment-data-summary
60,representative-of-the-assembly-district-20-race-by-ward-nov-8-2016
61,drug-drop-off-sites
62,streetcar-route
63,community-based-residential-facilities-within-city-of-milwaukee
64,representative-of-the-assembly-district-9-race-by-ward-nov-8-2016
65,corporate-boundary
66,trafficaccident
67,representative-of-the-assembly-district-10-race-by-ward-nov-8-2016
68,library-service-areas
69,street-car-stops
70,wibrarchive
71,mpd-stations
72,2018-nov-6-representative-to-the-assembly-district-11
73,mai
74,mprop
75,2018-nov-6-representative-to-the-assembly-district-17
76,dpw-parking
77,representative-of-the-assembly-district-13-race-by-ward-nov-8-2016
78,census-data-api-discovery-tool
79,opportunity-zones
80,calls-for-service
81,lead-service-line-data
82,united-states-census-bureau
83,district-attorney-race-by-ward-nov-8-2016
84,user-tips-sheet
85,2016-election-data
86,parcel-outlines
87,residential-assessment-neighborhoods
88,2020-general-election
89,citypropertymailinglist
90,municipal-judge-branch-1-by-ward-feb-21-2017
91,county-treasurer-race-by-ward-nov-8-2016
92,dpw-operations
93,milwaukee-police-department-squad-areas
94,2018-nov-6-representative-to-the-assembly-district-9
95,2018-nov-6-sheriff
96,child-residential-facilities-within-city-of-milwaukee
97,zoning
98,landusecode
99,targeted-investment-neighborhoods
100,milwaukee-public-schools
101,neighborhood-strategic-planning-areas-nsp
102,2018-nov-6-representative-to-the-assembly-district-84
103,milwaukee-police-district
104,streetcar-api
105,libraries
106,liquorlicenses
107,representative-of-the-assembly-district-14-race-by-ward-nov-8-2016
108,2019-spring-election-results
109,representative-of-the-assembly-district-16-race-by-ward-2016
110,callcenterdatahistorical
111,firehouse-locations
112,dataset-catalog
113,community-living-arrangement-facilities
114,aldermanic-districts
115,2019-property-listing-changes-combinations-and-divisions
116,neighborhoods
117,2016-nov-6-state-senator-district-7
118,milwaukee-police-department-reporting-districts
119,schools-elementary-secondary
120,garbage-recycling-collection
121,milwaukee-police-department-mpd-stop-and-search-data-4th-quarter-2020
122,__7
123,activities
124,__5
125,20thtimelineinfo
126,__1
127,__
128,iar-dataset-b
129,provided-services-by-general-investment-authority-statistics-for-2018
130,detailed-data-for-beneficiaries
131,numbers-of-lump-sum-pensioner-cumulative
132,detailed-data-for-lump-sum-pensioner-civilian
133,detailed-data-for-pensioners-with-pension-civilian
134,beneficiaries-according-to-the-relationship
135,numbers-of-pensioner-with-a-reason-of-disability
136,numbers-of-pensioner-with-a-cumulative-pension-according-to-the-state-of-life
137,number-of-beneficiaries-cumulative
138,number-of-pensioners-with-pension-according-to-the-end-of-service-reasons
139,number-of-early-retired-pensioners-with-a-pension-according-to-the-career-ladder
140,social-development-bank-loans-for-2021
141,credit-facilities-provided-to-smes
142,atms_statistics
143,points-of-sale-transactions
144,the-amount-of-treated-wastewater-during-the-year-2020
145,the-number-of-household-water-connections-cumulative-during-the-years-2017-2020
146,estimate-the-number-of-livestock-in-the-kingdom-for-the-year-2020
147,number-of-subscribers-active-accounts-in-water-by-region-for-the-years-from-2018-to-2020
148,pension-payment-amounts
149,2017-2020
150,agricultural-project-licenses-issued-for-the-year-2020
151,cr-number-and-activity-type-companies
152,https-mci-gov-saareservicespagesservicedetails-aspxsid-2
153,coc-certificates
154,2020-m
155,housing-and-population-by-gender-and-nationality-in-neighborhoods-of-riyadh
156,2021
